slug,alias,weight
pisang-goreng,pisang goreng,1.00
pisang-goreng,gorengan pisang,0.90
pisang-goreng,pisgor,0.95
risoles,risoles,1.00
risoles,risol,0.95
risoles,risol mayo,0.85
cireng,cireng,1.00
cireng,cireng isi,0.90
cireng,aci digoreng,0.75
mie-ayam,mie ayam,1.00
mie-ayam,bakmi ayam,0.95
mie-ayam,mi ayam,1.00
mie-ayam,mie ayam bakso,0.85
mie-instan-goreng,mie instan goreng,1.00
mie-instan-goreng,indomie,1.00
mie-instan-goreng,indomie goreng,1.00
mie-instan-goreng,mie goreng instan,0.95
mie-instan-goreng,mi goreng,0.85
mie-instan-kuah,mie instan kuah,1.00
mie-instan-kuah,indomie kuah,1.00
mie-instan-kuah,indomie rebus,0.95
mie-instan-kuah,mie rebus,0.85
kwetiau-goreng,kwetiau goreng,1.00
kwetiau-goreng,kwetiau,0.95
kwetiau-goreng,kwetiaw,0.90
bakso,bakso,1.00
bakso,baso,1.00
bakso,bakso kuah,0.95
bakso,bakso urat,0.85
soto-ayam,soto ayam,1.00
soto-ayam,soto,0.90
soto-ayam,soto lamongan,0.90
rawon,rawon,1.00
rawon,rawon daging,0.95
rawon,nasi rawon,0.85
sayur-sop,sayur sop,1.00
sayur-sop,sop sayur,1.00
sayur-sop,sup sayuran,0.90
gulai-ayam,gulai ayam,1.00
gulai-ayam,gulai,0.85
gulai-ayam,kari ayam,0.85
gado-gado,gado-gado,1.00
gado-gado,gado gado,1.00
gado-gado,lotek,0.80
gado-gado,pecel sayur,0.70
capcay,capcay,1.00
capcay,cap cay,1.00
capcay,tumis sayur campur,0.80
tumis-kangkung,tumis kangkung,1.00
tumis-kangkung,kangkung,0.90
tumis-kangkung,cah kangkung,0.95
sayur-asem,sayur asem,1.00
sayur-asem,sayur asam,1.00
sayur-asem,sayur bening asem,0.80
urap,urap,1.00
urap,urap sayur,1.00
urap,urapan,0.90
es-teh-manis,es teh manis,1.00
es-teh-manis,teh manis dingin,1.00
es-teh-manis,es teh,0.95
es-teh-manis,teh manis,0.90
es-kopi-susu,es kopi susu,1.00
es-kopi-susu,kopi susu,0.95
es-kopi-susu,kopsu,0.90
es-kopi-susu,kopi susu gula aren,0.90
teh-tawar,teh tawar,1.00
teh-tawar,teh pahit,0.90
teh-tawar,teh hangat tawar,0.90
jus-alpukat,jus alpukat,1.00
jus-alpukat,alpukat kocok,0.90
jus-alpukat,jus avocado,0.85
susu-uht,susu uht,1.00
susu-uht,susu full cream,0.95
susu-uht,susu putih,0.85
susu-uht,susu sapi,0.85
martabak-manis,martabak manis,1.00
martabak-manis,terang bulan,1.00
martabak-manis,kue bandung,0.85
martabak-telur,martabak telur,1.00
martabak-telur,martabak asin,0.95
martabak-telur,martabak telor,1.00
keripik-singkong,keripik singkong,1.00
keripik-singkong,kripik singkong,1.00
keripik-singkong,basreng singkong,0.70
keripik-singkong,keripik balado,0.80
